series_release,series_code,series_description,geoAreaCode,X,Y,ISO3CD,geoAreaName,sliceId,Units,Units_description,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,last_5_years_mean,latest_year,latest_value,latest_source,latest_nature,FID
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),474,-60.91544135,14.56086108,MTQ,Martinique,1,PERCENT,Percentage,2.06,2.04,2.07,1.96,2.06,2.12,2.09,2.48,2.52,2.62,2.63,2.55,2.49,2.48,2.43,2.45,2.48,2015,2.45,"Source: Energy Balances, UN Statistics Division (2017)",E,11
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),478,-10.33187259,20.26089546,MRT,Mauritania,1,PERCENT,Percentage,44.41,44.18,42.13,40.17,38.59,38.77,39.12,35.63,35.8,33.43,34,33.28,31.84,34.2,32.02,32.16,32.7,2015,32.16,"Source: Energy Balances, UN Statistics Division (2017)",E,12
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),480,57.568022,-20.28581998,MUS,Mauritius,1,PERCENT,Percentage,20.42,20.08,17.93,18.9,19.08,17.74,16.49,15.77,12.82,12.87,13.66,12.14,11.61,11.44,10.63,11.54,11.472,2015,11.54,"Source: World Energy Balances, IEA (2017)",E,13
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),484,-102.5148166,23.93378032,MEX,Mexico,1,PERCENT,Percentage,12.17,11.34,10.68,10.17,10.21,10.31,9.82,9.46,9.77,9.17,9.36,9.07,8.96,9.23,9.76,9.22,9.248,2015,9.22,"Source: World Energy Balances, IEA (2017)",E,14
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),4,66.02688198,33.83160199,AFG,Afghanistan,1,PERCENT,Percentage,54.24,54.06,43.77,42.28,49.84,40.86,37.14,33.86,21.34,17.81,14.84,11.48,13.97,16.33,19.31,18.42,15.902,2015,18.42,"Source: Energy Balances, UN Statistics Division (2017)",E,15
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),492,7.424214814,43.73532918,MCO,Monaco,1,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,16
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),496,103.0728057,46.83892054,MNG,Mongolia,1,PERCENT,Percentage,5.71,6.07,6.5,6.08,5.74,5.32,4.46,4.68,4.63,4.36,4.35,3.9,2.85,2.92,3.27,3.43,3.274,2015,3.43,"Source: World Energy Balances, IEA (2017)",E,17
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),498,28.4650624,47.20236795,MDA,Republic of Moldova,1,PERCENT,Percentage,5.72,5.6,5.83,5.92,4.85,4.31,4.98,4.47,4.94,4.86,8.44,9.89,10.47,13.08,13.05,14.27,12.152,2015,14.27,"Source: World Energy Balances, IEA (2017)",E,18
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),499,19.25214024,42.78717043,MNE,Montenegro,1,PERCENT,Percentage,0,0,0,0,0,47.61,44.83,42.27,38.76,49.16,49.09,42.83,45.91,49.38,45.99,43,45.422,2015,43,"Source: World Energy Balances, IEA (2017)",E,19
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),500,-62.19261223,16.73558313,MSR,Montserrat,1,PERCENT,Percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,"Source: Energy Balances, UN Statistics Division (2017)",E,20
