Countries,Electricity Access,Energy Efficiency,Renewable Energy,Overall,,,,,,,,,,,,,,,,,,,,,
Benin,63.38,29.85,38.57,43.93,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,61.88,26.92,37.29,42.03,,,,,,,,,,,,,,,,,,,,,
Burundi,38.13,9.31,29.29,25.57,,,,,,,,,,,,,,,,,,,,,
Cameroon,69.13,43.38,46.86,53.12,,,,,,,,,,,,,,,,,,,,,
Central African Republic,16.13,16.85,23.43,18.8,,,,,,,,,,,,,,,,,,,,,
Chad,12.75,9.46,15.86,12.69,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",34.75,19.69,36.43,30.29,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",24.88,8.23,29,20.7,,,,,,,,,,,,,,,,,,,,,
C™te d'Ivoire,66.75,43.23,54.29,54.76,,,,,,,,,,,,,,,,,,,,,
Eritrea,26.13,14.77,31.14,24.01,,,,,,,,,,,,,,,,,,,,,
Ethiopia,78.13,26.69,40.57,48.46,,,,,,,,,,,,,,,,,,,,,
Ghana,67.5,45.31,78.86,63.89,,,,,,,,,,,,,,,,,,,,,
Guinea,52.25,31,22.43,35.23,,,,,,,,,,,,,,,,,,,,,
Kenya,75.63,50.46,56,60.7,,,,,,,,,,,,,,,,,,,,,
Liberia,19,6.77,28.14,17.97,,,,,,,,,,,,,,,,,,,,,
Madagascar,24.5,17.38,20.71,20.87,,,,,,,,,,,,,,,,,,,,,
Malawi,45.25,14.38,55.71,38.45,,,,,,,,,,,,,,,,,,,,,
Mali,34.13,12.38,17,21.17,,,,,,,,,,,,,,,,,,,,,
Mauritania,24.13,10.69,17.71,17.51,,,,,,,,,,,,,,,,,,,,,
Mozambique,24.25,5.77,24.71,18.24,,,,,,,,,,,,,,,,,,,,,
Niger,55.5,16.08,35.86,35.81,,,,,,,,,,,,,,,,,,,,,
Nigeria,40,18.54,30.43,29.66,,,,,,,,,,,,,,,,,,,,,
Rwanda,72.63,27.62,50.14,50.13,,,,,,,,,,,,,,,,,,,,,
Senegal,47.38,23.23,46.14,38.92,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,36.38,17.46,38.29,30.71,,,,,,,,,,,,,,,,,,,,,
Somalia,4,5.08,2.29,3.79,,,,,,,,,,,,,,,,,,,,,
South Africa,75.13,76.15,76.14,75.81,,,,,,,,,,,,,,,,,,,,,
South Sudan,11.88,21.77,7,13.55,,,,,,,,,,,,,,,,,,,,,
Sudan,53.25,23.85,19,32.03,,,,,,,,,,,,,,,,,,,,,
Tanzania,76.38,13.92,41.86,44.05,,,,,,,,,,,,,,,,,,,,,
Togo,65.88,24.92,33.14,41.31,,,,,,,,,,,,,,,,,,,,,
Uganda,74.5,29.46,55.86,53.27,,,,,,,,,,,,,,,,,,,,,
Zambia,61.38,16.08,51.43,42.96,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,60.88,22.69,44,42.52,,,,,,,,,,,,,,,,,,,,,
